assessment_id,vehicle_make,vehicle make,vehicle_model,vehicle model,model_code,model code,part/service,category_id,category,part or service,service_provider,part_condition,part condition,part_type,part type,quantity,fix_type,fix type,damage_id,damage,estimated_repair_days,for_painting,paint_type,paint type,panels_to_paint,unit_price (vat incl. 16%),date
204,24,Honda,256,Fit,2826,DBA-GE6,1021,1,Body,RHS 3rd  Uppper Fixed Glass,259,1,used,1,Dealer/OEM,1,0,repair,20,Smashed,10,no,-,-,,4500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,82,1,Body,Rear Bumper,,2,-,-,-,1,1,replace,3,Dented,10,yes,2,Ordinary,9,,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,65,1,Body,RHS Running Board,,2,-,-,-,1,1,replace,3,Dented,10,yes,2,Ordinary,9,,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,47,1,Body,RHS Front Wing,259,1,used,1,Dealer/OEM,1,1,replace,1,Scratched,10,yes,2,Ordinary,9,10000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,133,1,Body,LHS Front Door,,2,-,-,-,1,1,replace,1,Scratched,10,yes,2,Ordinary,9,,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,902,8,Services,Labour Charges,,2,-,-,-,1,-,-,-,-,10,no,-,-,,20000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,903,8,Services,Painting Per Panel,,2,-,-,-,1,-,-,-,-,10,no,-,-,,5500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1010,8,Services,Miscellaneous,,2,-,-,-,1,-,-,-,-,10,no,-,-,,3000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1029,8,Services,2k Primer,,2,-,-,-,1,-,-,-,-,10,no,-,-,,2000,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1002,8,Services,Gas Welding,,2,-,-,-,1,-,-,-,-,10,no,-,-,,3500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,1028,8,Services,A/C Gas,,2,-,-,-,1,-,-,-,-,10,no,-,-,,4500,2/26/2024 7:46
204,24,Honda,256,Fit,2826,DBA-GE6,70,1,Body,RHS Side Mirror,259,1,used,1,Dealer/OEM,1,0,repair,11,Broken,10,yes,2,Ordinary,9,14000,2/26/2024 7:46
209,24,Honda,318,Vezel,3125,DAA-RU3,47,1,Body,RHS Front Wing,100,1,used,1,Dealer/OEM,1,0,repair,3,Dented,7,yes,1,Metallic,6,29000,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,1485,5,Accessories,Body Sticker,100,1,used,1,Dealer/OEM,1,0,repair,19,Crushed,7,no,-,-,,5800,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,53,1,Body,RHS Front Wing Liner,100,1,used,1,Dealer/OEM,1,0,repair,2,Torn,7,no,-,-,,4640,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,698,3,Electrical,RHS Headlight (Xenon),100,1,used,1,Dealer/OEM,1,0,repair,10,Missing,7,no,-,-,,69600,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,134,1,Body,RHS Front Door,100,2,-,-,-,1,1,replace,3,Dented,7,yes,1,Metallic,6,,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,30,1,Body,Front Bumper,100,2,-,-,-,1,1,replace,1,Scratched,7,no,-,-,,,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,1072,1,Body,RHF Wheel Arch Moulding,100,1,used,1,Dealer/OEM,1,0,repair,2,Torn,7,no,-,-,,6960,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,1310,1,Body,RHR Wheel Arch Moulding,100,2,-,-,-,1,1,replace,1,Scratched,7,no,-,-,,,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,137,1,Body,RHS Rear Door,100,2,-,-,-,1,1,replace,3,Dented,7,yes,1,Metallic,6,,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,49,1,Body,RHS Rear Wing,100,2,-,-,-,1,1,replace,3,Dented,7,yes,1,Metallic,6,,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,82,1,Body,Rear Bumper,100,2,-,-,-,1,1,replace,3,Dented,7,yes,1,Metallic,6,,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,701,3,Electrical,RHS Tail Light,81,1,used,1,Dealer/OEM,1,0,repair,11,Broken,7,no,-,-,,29000,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,65,1,Body,RHS Running Board,100,1,used,1,Dealer/OEM,1,0,repair,2,Torn,7,yes,1,Metallic,6,9280,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,980,5,Accessories,LHS Running Board Cover,100,1,used,1,Dealer/OEM,1,0,repair,2,Torn,7,yes,1,Metallic,6,8700,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,718,2,Engine & Chassis,RHS Rack End,100,1,used,1,Dealer/OEM,1,0,repair,8,Ripped off,7,no,-,-,,4640,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,738,2,Engine & Chassis,RHS Front Tie Rod,100,1,used,1,Dealer/OEM,1,0,repair,9,Bent,7,no,-,-,,4640,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,731,2,Engine & Chassis,RHS Front Shock Absober,100,1,used,1,Dealer/OEM,1,0,repair,9,Bent,7,no,-,-,,15080,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,724,2,Engine & Chassis,RHS Control Arm,100,1,used,1,Dealer/OEM,1,0,repair,9,Bent,7,no,-,-,,6380,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,1038,2,Engine & Chassis,RHS Front Stabilizer Link,100,1,used,1,Dealer/OEM,1,0,repair,9,Bent,7,no,-,-,,2088,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,902,8,Services,Labour Charges,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,13000,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,1010,8,Services,Miscellaneous,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,2000,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,1029,8,Services,2k Primer,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,2000,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,904,8,Services,Wheel Alignment,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,2000,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,916,1,Body,RHS Front Bumper Slide,100,1,used,1,Dealer/OEM,1,0,repair,8,Ripped off,7,yes,1,Metallic,6,4060,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,918,1,Body,RHS Rear Bumper Slide,100,1,used,1,Dealer/OEM,1,0,repair,11,Broken,7,yes,1,Metallic,6,4060,2/27/2024 12:48
209,24,Honda,318,Vezel,3125,DAA-RU3,903,8,Services,Painting Per Panel,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,5500,2/27/2024 12:48
215,24,Honda,318,Vezel,3125,DAA-RU3,82,1,Body,Rear Bumper,100,1,used,1,Dealer/OEM,1,0,repair,19,Crushed,7,yes,1,Metallic,4,33000,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,99,1,Body,Tailgate Assembly,100,1,used,1,Dealer/OEM,1,0,repair,19,Crushed,7,yes,1,Metallic,4,154000,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,1310,1,Body,RHR Wheel Arch Moulding,100,1,used,1,Dealer/OEM,1,0,repair,19,Crushed,7,yes,1,Metallic,4,7150,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,701,3,Electrical,RHS Tail Light,100,1,used,1,Dealer/OEM,1,0,repair,11,Broken,7,no,-,-,,27500,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,51,1,Body,RHS Rear Wing Inner Cover,100,1,used,1,Dealer/OEM,1,0,repair,2,Torn,7,no,-,-,,13200,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,1150,8,Services,Boot Floor Jigging,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,8000,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,137,1,Body,RHS Rear Door,100,2,-,-,-,1,1,replace,3,Dented,7,yes,1,Metallic,4,,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,49,1,Body,RHS Rear Wing,100,2,-,-,-,1,1,replace,3,Dented,7,yes,1,Metallic,4,,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,903,8,Services,Painting Per Panel,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,6000,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,1010,8,Services,Miscellaneous,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,2000,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,1029,8,Services,2k Primer,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,2000,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,1002,8,Services,Gas Welding,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,3500,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,902,8,Services,Labour Charges,100,2,-,-,-,1,-,-,-,-,7,no,-,-,,14000,3/6/2024 6:08
215,24,Honda,318,Vezel,3125,DAA-RU3,1179,1,Body,RHS Rear Bumper End Piece,100,1,used,1,Dealer/OEM,1,0,repair,3,Dented,7,yes,1,Metallic,4,7700,3/6/2024 6:08
222,24,Honda,1243,Ace,5655,125,2235,1,Body,Foot Rest and Rubbers,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,3,no,-,-,,2320,3/7/2024 8:26
222,24,Honda,1243,Ace,5655,125,864,2,Engine & Chassis,Gear Lever,259,1,used,1,Dealer/OEM,1,0,repair,11,Broken,3,no,-,-,,290,3/7/2024 8:26
222,24,Honda,1243,Ace,5655,125,2231,1,Body,Cluth Lever,259,1,used,1,Dealer/OEM,1,0,repair,11,Broken,3,no,-,-,,290,3/7/2024 8:26
222,24,Honda,1243,Ace,5655,125,70,1,Body,RHS Side Mirror,259,1,used,1,Dealer/OEM,1,0,repair,11,Broken,3,no,-,-,,522,3/7/2024 8:26
222,24,Honda,1243,Ace,5655,125,66,1,Body,LHS Side Mirror,259,1,used,1,Dealer/OEM,1,0,repair,11,Broken,3,no,-,-,,522,3/7/2024 8:26
222,24,Honda,1243,Ace,5655,125,682,3,Electrical,Brake Light,259,1,used,1,Dealer/OEM,1,0,repair,11,Broken,3,no,-,-,,2320,3/7/2024 8:26
222,24,Honda,1243,Ace,5655,125,707,3,Electrical,LHS Indicator Light,259,1,used,1,Dealer/OEM,1,0,repair,11,Broken,3,no,-,-,,464,3/7/2024 8:26
222,24,Honda,1243,Ace,5655,125,2237,1,Body,RHS Cover,259,1,used,1,Dealer/OEM,1,0,repair,11,Broken,3,no,-,-,,2900,3/7/2024 8:26
222,24,Honda,1243,Ace,5655,125,2238,1,Body,Ball Race and Cones,259,1,used,1,Dealer/OEM,1,0,repair,19,Crushed,3,no,-,-,,1740,3/7/2024 8:26
222,24,Honda,1243,Ace,5655,125,902,8,Services,Labour Charges,,2,-,-,-,1,-,-,-,-,3,no,-,-,,3000,3/7/2024 8:26
222,24,Honda,1243,Ace,5655,125,2233,1,Body,Crush Guard,259,1,used,1,Dealer/OEM,1,0,repair,9,Bent,3,no,-,-,,2320,3/7/2024 8:26
239,24,Honda,318,Vezel,3125,DAA-RU3,72,1,Body,RHS Side Mirror With Blinker,37,1,used,1,Dealer/OEM,1,0,repair,8,Ripped off,3,yes,2,Ordinary,4,40600,3/21/2024 7:08
239,24,Honda,318,Vezel,3125,DAA-RU3,903,8,Services,Painting Per Panel,55,2,-,-,-,1,-,-,-,-,3,no,-,-,,5500,3/21/2024 7:08
239,24,Honda,318,Vezel,3125,DAA-RU3,902,8,Services,Labour Charges,55,2,-,-,-,1,-,-,-,-,3,no,-,-,,10000,3/21/2024 7:08
239,24,Honda,318,Vezel,3125,DAA-RU3,1010,8,Services,Miscellaneous,55,2,-,-,-,1,-,-,-,-,3,no,-,-,,1000,3/21/2024 7:08
